2022-04-01 21:55:18 EPC: 007219000000000000000A5C, TID: E280110520005645D2590065
2022-04-01 21:55:19 EPC: 007219000000000000000A5C, TID: E280110520005645D2590065
2022-04-01 21:55:41 EPC: 00721900000000000000050D, TID: E28011052000545AD12D0065
2022-04-01 21:55:42 EPC: 00721900000000000000050D, TID: E28011052000545AD12D0065
2022-04-01 21:55:46 EPC: 00721900000000000000050D, TID: E28011052000545AD12D0065
2022-04-01 21:56:09 EPC: 007219000000000000000552, TID: E2801105200058DCD2720065
2022-04-01 21:56:11 EPC: 007219000000000000000552, TID: E2801105200058DCD2720065
2022-04-01 21:56:12 EPC: 007219000000000000000552, TID: E2801105200058DCD2720065
2022-04-01 21:56:13 EPC: 007219000000000000000552, TID: E2801105200058DCD2720065
2022-04-01 21:56:40 EPC: 007219000000000000000500, TID: E2801105200052D9D1590065
2022-04-01 21:56:41 EPC: 007219000000000000000500, TID: E2801105200052D9D1590065
2022-04-01 21:56:42 EPC: 007219000000000000000500, TID: E2801105200052D9D1590065
2022-04-01 21:56:43 EPC: 007219000000000000000500, TID: E2801105200052D9D1590065
2022-04-01 21:56:44 EPC: 007219000000000000000500, TID: E2801105200052D9D1590065
2022-04-01 21:56:46 EPC: 007219000000000000000500, TID: E2801105200052D9D1590065
2022-04-01 21:56:49 EPC: 007219000000000000000500, TID: E2801105200052D9D1590065
2022-04-01 21:56:52 EPC: 007219000000000000000500, TID: E2801105200052D9D1590065
2022-04-01 21:56:53 EPC: 007219000000000000000500, TID: E2801105200052D9D1590065
2022-04-01 21:56:55 EPC: 007219000000000000000500, TID: E2801105200052D9D1590065
2022-04-01 21:56:56 EPC: 007219000000000000000500, TID: E2801105200052D9D1590065
2022-04-01 21:56:57 EPC: 007219000000000000000500, TID: E2801105200052D9D1590065
2022-04-01 21:56:58 EPC: 007219000000000000000500, TID: E2801105200052D9D1590065
2022-04-01 21:56:59 EPC: 007219000000000000000500, TID: E2801105200052D9D1590065
2022-04-01 21:57:01 EPC: 007219000000000000000500, TID: E2801105200052D9D1590065
2022-04-01 21:57:01 EPC: 0072190000000000000003D6, TID: E280110520005146D3BE0065
2022-04-01 21:57:28 EPC: 00721900000000000000041E, TID: E2801105200056C6D3D90065
2022-04-01 21:57:32 EPC: 00721900000000000000041E, TID: E2801105200056C6D3D90065
2022-04-01 21:57:33 EPC: 00681500000000000000149B, TID: E2801105200058D6319B021B
2022-04-01 21:57:34 EPC: 00681500000000000000149B, TID: E2801105200058D6319B021B
2022-04-01 21:57:35 EPC: 00681500000000000000149B, TID: E2801105200058D6319B021B
2022-04-01 21:57:35 EPC: 00721900000000000000041E, TID: E2801105200056C6D3D90065
2022-04-01 21:57:43 EPC: 0072190000000000000004DD, TID: E28011052000589AD1D80065
2022-04-01 21:57:44 EPC: 0072190000000000000004DD, TID: E28011052000589AD1D80065
2022-04-01 21:57:44 EPC: 0072190000000000000004C5, TID: E280110520005A5AD1420065
2022-04-01 21:57:52 EPC: 007219000000000000000C1A, TID: E2801105200056C6D3470065
2022-04-01 21:57:54 EPC: 007219000000000000000C1A, TID: E2801105200056C6D3470065
2022-04-01 21:57:55 EPC: 007219000000000000000C1A, TID: E2801105200056C6D3470065
2022-04-01 21:57:56 EPC: 007219000000000000000C1A, TID: E2801105200056C6D3470065
2022-04-01 21:57:57 EPC: 007219000000000000000C1A, TID: E2801105200056C6D3470065
2022-04-01 21:57:58 EPC: 007219000000000000000C1A, TID: E2801105200056C6D3470065
2022-04-01 21:58:00 EPC: 007219000000000000000C1A, TID: E2801105200056C6D3470065
2022-04-01 21:58:01 EPC: 007219000000000000000C1A, TID: E2801105200056C6D3470065
2022-04-01 21:58:02 EPC: 007219000000000000000C1A, TID: E2801105200056C6D3470065
2022-04-01 21:58:03 EPC: 00721900000000000000052D, TID: E28011052000525AD1190065
2022-04-01 21:58:04 EPC: 007219000000000000000C1A, TID: E2801105200056C6D3470065
2022-04-01 21:58:14 EPC: 007219000000000000000C1A, TID: E2801105200056C6D3470065
2022-04-01 21:58:23 EPC: 00681500000000000000150F, TID: E2801105200057032D09021B
2022-04-01 21:58:25 EPC: 00681500000000000000150F, TID: E2801105200057032D09021B
2022-04-01 21:58:31 EPC: 0072190000000000000003AD, TID: E2801105200056DCD20D0065
2022-04-01 21:58:32 EPC: 0072190000000000000003AD, TID: E2801105200056DCD20D0065
2022-04-01 21:58:33 EPC: 0072190000000000000003AD, TID: E2801105200056DCD20D0065
