2022-04-02 21:17:12 EPC: 044145000000000000002354, TID: E280110C2000794DEAD00A15
2022-04-02 21:17:13 EPC: 044145000000000000002354, TID: E280110C2000794DEAD00A15
2022-04-02 21:17:25 EPC: 007219000000000000000A4E, TID: E280110520005109D2C10065
2022-04-02 21:17:27 EPC: 007219000000000000000A4E, TID: E280110520005109D2C10065
2022-04-02 21:17:28 EPC: 007219000000000000000A4E, TID: E280110520005109D2C10065
2022-04-02 21:17:41 EPC: 007219000000000000000A4E, TID: E280110520005109D2C10065
2022-04-02 21:17:42 EPC: 007219000000000000000A4E, TID: E280110520005109D2C10065
2022-04-02 21:17:43 EPC: 007219000000000000000A4E, TID: E280110520005109D2C10065
2022-04-02 21:17:44 EPC: 007219000000000000000A4E, TID: E280110520005109D2C10065
2022-04-02 21:17:45 EPC: 007219000000000000000A4E, TID: E280110520005109D2C10065
2022-04-02 21:17:46 EPC: 007219000000000000000A4E, TID: E280110520005109D2C10065
2022-04-02 21:17:57 EPC: 007219000000000000000A4E, TID: E280110520005109D2C10065
2022-04-02 21:17:59 EPC: 007219000000000000000A4E, TID: E280110520005109D2C10065
2022-04-02 21:18:00 EPC: 007219000000000000000A4E, TID: E280110520005109D2C10065
2022-04-02 21:18:00 EPC: 007219000000000000000A4E, TID: E280110520005109D2C10065
2022-04-02 21:18:13 EPC: 044145000000000000002354, TID: E280110C2000794DEAD00A15
2022-04-02 21:18:14 EPC: 044145000000000000002354, TID: E280110C2000794DEAD00A15
2022-04-02 21:18:15 EPC: 044145000000000000002354, TID: E280110C2000794DEAD00A15
2022-04-02 21:18:25 EPC: 0441450000000000000022C9, TID: E280110C2000745DBB870A11
2022-04-02 21:18:26 EPC: 0441450000000000000022C9, TID: E280110C2000745DBB870A11
2022-04-02 21:18:27 EPC: 0441450000000000000022C9, TID: E280110C2000745DBB870A11
2022-04-02 21:21:22 EPC: 007219000000000000000445, TID: E28011052000531AD1590065
2022-04-02 21:21:23 EPC: 007219000000000000000445, TID: E28011052000531AD1590065
2022-04-02 21:21:24 EPC: 007219000000000000000445, TID: E28011052000531AD1590065
2022-04-02 21:21:26 EPC: 007219000000000000000445, TID: E28011052000531AD1590065
2022-04-02 21:21:33 EPC: 00721900000000000000049F, TID: E280110520005099D1F20065
2022-04-02 21:21:34 EPC: 00721900000000000000049F, TID: E280110520005099D1F20065
2022-04-02 21:21:35 EPC: 00721900000000000000049F, TID: E280110520005099D1F20065
2022-04-02 21:21:46 EPC: 007219000000000000000413, TID: E2801105200050C6D45A0065
2022-04-02 21:21:47 EPC: 007219000000000000000413, TID: E2801105200050C6D45A0065
2022-04-02 21:21:48 EPC: 007219000000000000000413, TID: E2801105200050C6D45A0065
2022-04-02 21:21:50 EPC: 007219000000000000000413, TID: E2801105200050C6D45A0065
2022-04-02 21:21:52 EPC: 007219000000000000000413, TID: E2801105200050C6D45A0065
