2022-04-05 08:56:27 EPC: 04414500000000000000233D, TID: E280110C2000770EEAC90A15, ANT: 01
2022-04-05 08:56:28 EPC: 04414500000000000000233D, TID: E280110C2000770EEAC90A15, ANT: 01
2022-04-05 08:56:29 EPC: 04414500000000000000233D, TID: E280110C2000770EEAC90A15, ANT: 01
2022-04-05 08:56:31 EPC: 04414500000000000000233D, TID: E280110C2000770EEAC90A15, ANT: 01
2022-04-05 08:56:31 EPC: 04414500000000000000233D, TID: E280110C2000770EEAC90A15, ANT: 01
2022-04-05 08:56:32 EPC: 04414500000000000000233D, TID: E280110C2000770EEAC90A15, ANT: 01
2022-04-05 08:56:33 EPC: 04414500000000000000233D, TID: E280110C2000770EEAC90A15, ANT: 01
2022-04-05 08:56:35 EPC: 04414500000000000000233D, TID: E280110C2000770EEAC90A15, ANT: 01
2022-04-05 08:56:38 EPC: 0441450000000000000025C1, TID: E280110C2000711BBB520A11, ANT: 01
2022-04-05 08:56:46 EPC: 0441450000000000000022ED, TID: E280110C2000715DBB9A0A11, ANT: 01
2022-04-05 08:56:52 EPC: 044145000000000000002266, TID: E280110C2000729CBB6B0A11, ANT: 01
2022-04-05 08:56:53 EPC: 044145000000000000002266, TID: E280110C2000729CBB6B0A11, ANT: 01
2022-04-05 08:56:58 EPC: 044145000000000000002266, TID: E280110C2000729CBB6B0A11, ANT: 01
2022-04-05 08:56:59 EPC: 044145000000000000002266, TID: E280110C2000729CBB6B0A11, ANT: 01
2022-04-05 08:57:00 EPC: 044145000000000000002266, TID: E280110C2000729CBB6B0A11, ANT: 01
2022-04-05 08:58:11 EPC: 044145000000000000002277, TID: E280110C2000749CBB870A11, ANT: 01
2022-04-05 08:58:12 EPC: 044145000000000000002277, TID: E280110C2000749CBB870A11, ANT: 01
2022-04-05 08:58:23 EPC: 007219000000000000000A8E, TID: E280110520005949D2AD0065, ANT: 01
2022-04-05 08:58:48 EPC: 00721900000000000000041B, TID: E28011052000554BD2550065, ANT: 01
2022-04-05 08:58:49 EPC: 00721900000000000000041B, TID: E28011052000554BD2550065, ANT: 01
2022-04-05 08:59:00 EPC: 0072190000000000000003F9, TID: E280110520005986D48B0065, ANT: 01
2022-04-05 09:00:18 EPC: 0441450000000000000022C9, TID: E280110C2000745DBB870A11, ANT: 01
2022-04-05 09:03:02 EPC: 007219000000000000000445, TID: E28011052000531AD1590065, ANT: 01
2022-04-05 09:03:09 EPC: 00721900000000000000049F, TID: E280110520005099D1F20065, ANT: 01
2022-04-05 09:03:16 EPC: 007219000000000000000413, TID: E2801105200050C6D45A0065, ANT: 01
2022-04-05 09:03:17 EPC: 007219000000000000000413, TID: E2801105200050C6D45A0065, ANT: 01
2022-04-05 09:03:25 EPC: 007219000000000000000413, TID: E2801105200050C6D45A0065, ANT: 01
2022-04-05 09:03:26 EPC: 007219000000000000000413, TID: E2801105200050C6D45A0065, ANT: 01
2022-04-05 09:03:27 EPC: 007219000000000000000413, TID: E2801105200050C6D45A0065, ANT: 01
2022-04-05 09:03:28 EPC: 007219000000000000000413, TID: E2801105200050C6D45A0065, ANT: 01
2022-04-05 09:03:29 EPC: 007219000000000000000413, TID: E2801105200050C6D45A0065, ANT: 01
2022-04-05 09:03:30 EPC: 007219000000000000000413, TID: E2801105200050C6D45A0065, ANT: 01
2022-04-05 09:03:38 EPC: 007219000000000000000413, TID: E2801105200050C6D45A0065, ANT: 01
2022-04-05 09:03:39 EPC: 007219000000000000000413, TID: E2801105200050C6D45A0065, ANT: 01
2022-04-05 09:03:50 EPC: 00721900000000000000049F, TID: E280110520005099D1F20065, ANT: 01
2022-04-05 09:03:51 EPC: 00721900000000000000049F, TID: E280110520005099D1F20065, ANT: 01
2022-04-05 09:03:57 EPC: 007219000000000000000445, TID: E28011052000531AD1590065, ANT: 01
2022-04-05 09:04:18 EPC: 0072190000000000000003B9, TID: E28011052000509CD2410065, ANT: 01
2022-04-05 09:04:24 EPC: 00721900000000000000040D, TID: E28011052000555CD25A0065, ANT: 01
2022-04-05 09:04:32 EPC: 0072190000000000000004ED, TID: E28011052000569CD1720065, ANT: 01
2022-04-05 09:04:33 EPC: 0072190000000000000004ED, TID: E28011052000569CD1720065, ANT: 01
2022-04-05 09:04:34 EPC: 0072190000000000000004ED, TID: E28011052000569CD1720065, ANT: 01
2022-04-05 09:04:38 EPC: 0072190000000000000004ED, TID: E28011052000569CD1720065, ANT: 01
2022-04-05 09:04:39 EPC: 0072190000000000000004ED, TID: E28011052000569CD1720065, ANT: 01
2022-04-05 09:04:40 EPC: 0072190000000000000004ED, TID: E28011052000569CD1720065, ANT: 01
2022-04-05 09:04:41 EPC: 0072190000000000000004ED, TID: E28011052000569CD1720065, ANT: 01
2022-04-05 09:04:49 EPC: 00721900000000000000040D, TID: E28011052000555CD25A0065, ANT: 01
2022-04-05 09:04:55 EPC: 0072190000000000000003B9, TID: E28011052000509CD2410065, ANT: 01
2022-04-05 09:05:01 EPC: 0072190000000000000003B9, TID: E28011052000509CD2410065, ANT: 01
2022-04-05 09:05:03 EPC: 0072190000000000000003B9, TID: E28011052000509CD2410065, ANT: 01
2022-04-05 09:05:05 EPC: 007219000000000000000445, TID: E28011052000531AD1590065, ANT: 01
2022-04-05 09:05:21 EPC: 007219000000000000000483, TID: E280110520005AD9D1050065, ANT: 01
2022-04-05 09:05:27 EPC: 007219000000000000000399, TID: E28011052000570BD2550065, ANT: 01
2022-04-05 09:05:34 EPC: 0068150000000000000015DB, TID: E28011052000518D3204021B, ANT: 01
2022-04-05 09:05:35 EPC: 0068150000000000000015DB, TID: E28011052000518D3204021B, ANT: 01
2022-04-05 09:05:42 EPC: 0068150000000000000015DB, TID: E28011052000518D3204021B, ANT: 01
2022-04-05 09:05:43 EPC: 0068150000000000000015DB, TID: E28011052000518D3204021B, ANT: 01
2022-04-05 09:05:44 EPC: 0068150000000000000015DB, TID: E28011052000518D3204021B, ANT: 01
2022-04-05 09:05:52 EPC: 007219000000000000000399, TID: E28011052000570BD2550065, ANT: 01
2022-04-05 09:05:53 EPC: 007219000000000000000399, TID: E28011052000570BD2550065, ANT: 01
2022-04-05 09:05:59 EPC: 007219000000000000000483, TID: E280110520005AD9D1050065, ANT: 01
2022-04-05 09:06:18 EPC: 007219000000000000000409, TID: E280110520005146D2E90065, ANT: 01
2022-04-05 09:06:25 EPC: 007219000000000000000414, TID: E280110520005506D3D90065, ANT: 01
2022-04-05 09:06:26 EPC: 007219000000000000000414, TID: E280110520005506D3D90065, ANT: 01
2022-04-05 09:06:32 EPC: 006815000000000000001571, TID: E280110520005B4D31E9021B, ANT: 01
2022-04-05 09:06:33 EPC: 006815000000000000001571, TID: E280110520005B4D31E9021B, ANT: 01
2022-04-05 09:06:34 EPC: 006815000000000000001571, TID: E280110520005B4D31E9021B, ANT: 01
2022-04-05 09:06:41 EPC: 006815000000000000001571, TID: E280110520005B4D31E9021B, ANT: 01
