2022-03-31 21:45:27 EPC: 044145000000000000002542, TID: E280110C2000751BBB600A11, ANT: 01
2022-03-31 21:45:28 EPC: 044145000000000000002542, TID: E280110C2000751BBB600A11, ANT: 01
2022-03-31 21:45:30 EPC: 044145000000000000002542, TID: E280110C2000751BBB600A11, ANT: 01
2022-03-31 21:45:31 EPC: 044145000000000000002542, TID: E280110C2000751BBB600A11, ANT: 01
2022-03-31 21:45:32 EPC: 044145000000000000002542, TID: E280110C2000751BBB600A11, ANT: 01
2022-03-31 21:45:33 EPC: 044145000000000000002542, TID: E280110C2000751BBB600A11, ANT: 01
2022-03-31 21:45:34 EPC: 044145000000000000002542, TID: E280110C2000751BBB600A11, ANT: 01
2022-03-31 21:45:35 EPC: 044145000000000000002542, TID: E280110C2000751BBB600A11, ANT: 01
2022-03-31 21:45:37 EPC: 044145000000000000002542, TID: E280110C2000751BBB600A11, ANT: 01
2022-03-31 21:45:37 EPC: 044145000000000000002542, TID: E280110C2000751BBB600A11, ANT: 01
2022-03-31 21:45:38 EPC: 044145000000000000002542, TID: E280110C2000751BBB600A11, ANT: 01
2022-03-31 21:45:40 EPC: 044145000000000000002542, TID: E280110C2000751BBB600A11, ANT: 01
2022-03-31 21:45:45 EPC: 0441450000000000000020E2, TID: E280110C20007B91EAD10A15, ANT: 01
2022-03-31 21:45:46 EPC: 0441450000000000000020E2, TID: E280110C20007B91EAD10A15, ANT: 01
2022-03-31 21:45:56 EPC: 0441450000000000000022B0, TID: E280110C20007A5DBB8B0A11, ANT: 01
2022-03-31 21:45:57 EPC: 0441450000000000000022B0, TID: E280110C20007A5DBB8B0A11, ANT: 01
2022-03-31 21:46:06 EPC: 044145000000000000002481, TID: E280110C2000779ABB540A11, ANT: 01
2022-03-31 21:46:07 EPC: 044145000000000000002481, TID: E280110C2000779ABB540A11, ANT: 01
2022-03-31 21:46:09 EPC: 044145000000000000002481, TID: E280110C2000779ABB540A11, ANT: 01
2022-03-31 21:46:10 EPC: 044145000000000000002481, TID: E280110C2000779ABB540A11, ANT: 01
2022-03-31 21:46:15 EPC: 044145000000000000002481, TID: E280110C2000779ABB540A11, ANT: 01
2022-03-31 21:46:16 EPC: 044145000000000000002481, TID: E280110C2000779ABB540A11, ANT: 01
2022-03-31 21:46:18 EPC: 044145000000000000002481, TID: E280110C2000779ABB540A11, ANT: 01
2022-03-31 21:46:18 EPC: 044145000000000000002481, TID: E280110C2000779ABB540A11, ANT: 01
2022-03-31 21:46:19 EPC: 044145000000000000002481, TID: E280110C2000779ABB540A11, ANT: 01
2022-03-31 21:46:21 EPC: 044145000000000000002481, TID: E280110C2000779ABB540A11, ANT: 01
2022-03-31 21:46:22 EPC: 044145000000000000002481, TID: E280110C2000779ABB540A11, ANT: 01
2022-03-31 21:46:23 EPC: 044145000000000000002481, TID: E280110C2000779ABB540A11, ANT: 01
